Word,Frequency,,,,,,POSITIVAS,,NEGATIVAS,,NEUTRAS
claudia,89,,,,,,claudia,,votar,,campana
claudiasheinbaum,78,,,,,,claudiasheinbaum,,candidato,,junio
campana,37,,,,,,transformacion,,fueron,,elecciones
junio,27,,,,,,presidenta,,metro,,durante
transformacion,26,,,,,,nacional,,tren,,presidencial
elecciones,25,,,,,,clara,,FALSO,,cada
presidenta,22,,,,,,candidatos,,cartel,,voto
nacional,22,,,,,,ganar,,aseguro,,agua
durante,21,,,,,,republica,,nadie,,nuestra
presidencial,20,,,,,,cambio,,mano,,chiapas
votar,20,,,,,,mujeres,,eleccion,,quieren
candidato,20,,,,,,almomento,,,,dijo
cada,18,,,,,,amigos,,,,debate
voto,16,,,,,,doctora,,,,ustedes
agua,16,,,,,,todas,,,,estado
nuestra,16,,,,,,simpatizantes,,,,video
clara,15,,,,,,millones,,,,alcaldia
candidatos,15,,,,,,vida,,,,hacia
ganar,15,,,,,,mensaje,,,,despues
chiapas,14,,,,,,enterate,,,,parte
quieren,13,,,,,,visita,,,,junto
dijo,13,,,,,,ciudad,,,,estas
republica,13,,,,,,propuestas,,,,habra
debate,13,,,,,,equipo,,,,segundo
cambio,11,,,,,,mexicano,,,,distrito
mujeres,11,,,,,,movimiento,,,,haciendo
ustedes,11,,,,,,bienestar,,,,abril
almomento,11,,,,,,pensiones,,,,cosas
amigos,10,,,,,,queremos,,,,cuarta
doctora,10,,,,,,paso,,,,dias
todas,10,,,,,,nahle,,,,llevar
estado,10,,,,,,apoyar,,,,quiero
video,10,,,,,,amor,,,,ante
simpatizantes,10,,,,,,unidad,,,,programa
alcaldia,10,,,,,,viva,,,,llego
hacia,10,,,,,,entrevista,,,,cdmx
millones,10,,,,,,amigas,,,,publicos
despues,9,,,,,,vecinos,,,,politico
parte,9,,,,,,juntos,,,,empresarios
vida,9,,,,,,gane,,,,militantes
mensaje,9,,,,,,trabajadores,,,,gobernador
junto,9,,,,,,familia,,,,miltantes
enterate,9,,,,,,coalicion,,,,cdmx
visita,9,,,,,,historia,,,,
ciudad,9,,,,,,avanza,,,,
estas,9,,,,,,trabajo,,,,
propuestas,9,,,,,,,,,,
habra,9,,,,TOTAL,,46,,11,,49
equipo,9,,,,,,,,,,
segundo,8,,,,,,,,,,
mexicano,8,,,,,,,,,,
distrito,8,,,,,,,,,,
movimiento,8,,,,,,,,,,
haciendo,8,,,,,,,,,,
bienestar,8,,,,,,,,,,
pensiones,8,,,,,,,,,,
queremos,8,,,,,,,,,,
paso,8,,,,,,,,,,
nahle,8,,,,,,,,,,
apoyar,8,,,,,,,,,,
amor,8,,,,,,,,,,
unidad,8,,,,,,,,,,
shenbaun,8,,,,,,,,,,
viva,8,,,,,,,,,,
entrevista,8,,,,,,,,,,
amigas,7,,,,,,,,,,
vecinos,7,,,,,,,,,,
juntos,7,,,,,,,,,,
gane,7,,,,,,,,,,
trabajadores,7,,,,,,,,,,
politico,7,,,,,,,,,,
familia,7,,,,,,,,,,
dicen,7,,,,,,,,,,
empresarios,7,,,,,,,,,,
coalicion,7,,,,,,,,,,
historia,7,,,,,,,,,,
gobernador,7,,,,,,,,,,
militantes,7,,,,,,,,,,
publicos,7,,,,,,,,,,
eleccion,7,,,,,,,,,,
abril,7,,,,,,,,,,
nadie,7,,,,,,,,,,
cosas,7,,,,,,,,,,
cartel,7,,,,,,,,,,
cuarta,7,,,,,,,,,,
avanza,7,,,,,,,,,,
dias,7,,,,,,,,,,
llevar,7,,,,,,,,,,
mano,7,,,,,,,,,,
quiero,7,,,,,,,,,,
fueron,7,,,,,,,,,,
metro,7,,,,,,,,,,
tren,7,,,,,,,,,,
ante,7,,,,,,,,,,
programa,6,,,,,,,,,,
aseguro,6,,,,,,,,,,
llego,6,,,,,,,,,,
trabajo,6,,,,,,,,,,
FALSO,6,,,,,,,,,,
cdmx,6,,,,,,,,,,